plan_id,active_members,total_sum_assured,fresh_expected_death_count,fresh_expected_claim_cost,adjusted_expected_claim_cost,gross_model_premium,underwriting_referral_count,total_cover_above_free_cover_limit,average_sum_assured,gross_premium_rate_per_1000,pipeline_09_version
GTI_FLAT_01,2076,4152000000.0,1.4321878691258978,2864375.7382517955,15005739.498686993,18757174.37335874,0,0.0,2000000.0,4.5176238856837045,P09-C01
GTI_GRADE_03,2006,7510500000.0,1.604772506856664,7007911.204496438,30030884.61233969,37538605.76542461,229,700000000.0,3744017.9461615155,4.998150025354452,P09-C01
GTI_SAL_02,3831,15000168000.0,2.8296528992749344,13034182.39803502,106343932.16250387,132929915.20312983,395,665115000.0,3915470.6342991386,8.861895093650274,P09-C01
